,0,3,1,2,5,4,6,7,8,9
89,Itgb2,Grcc10,Kpna2,Cox8a,Smyd3,Tmem108,Iglc1,Ptp4a3,Rpl4,Aoah
90,Myl12a,Rgs10,Hnrnpab,Sri,Stag1,Klf2,Spi1,Gm19951,Rpl31,Litaf
91,Maf,Ighm,Calm3,Polr1d,Pip4k2a,Rpl7a,Smim14,Acsl1,Rpl41,Nampt
92,Acot7,Sell,Diaph3,Serf2,Itpr2,Fam189b,Gga2,Spta1,Zfp36,Tmem106a
93,Pfn1,Rpl23a,Crip1,Arpc1b,Cyth1,Rps15,Pik3ap1,F930017D23Rik,Lef1,Tspo
94,Tspo,Dgka,Dctpp1,Ppp1r12a,Dock11,Rpl29,Ciita,Phospho1,Ptpn18,Gbp5
95,Gabarapl2,Rabac1,Ncaph,Tnfrsf4,Dgka,Ccr7,Man1a,Atp5l,Rpl22l1,Fbxl5
96,Dnajc15,Btg1,Cdc20,Itm2c,Vps13b,Nsa2,Serpina3g,Serinc3,2410006H16Rik,Gapdh
97,Il18rap,Ddx5,H2afv,H2-D1,Tnfaip3,Nkg7,Lat2,Lmo2,Npm1,Pld4
98,Crip1,Srsf5,Hist1h1e,Coro1b,Pan3,Grcc10,Pou2f2,Rec114,Rpl23a,Slc16a3
99,Podnl1,Nop10,Pfn1,Supt4a,Itga4,Lcn4,Plcg2,Rfk,Btg1,Fcgr1
100,Ctsb,Rpl22l1,Pgk1,Cox4i1,Itpkb,Eef1d,Btla,Ctsb,Tmsb10,Snx10
101,Ifitm3,Klf2,Snrpd1,Gas5,Celf2,Rgcc,Mif4gd,Irf7,Atp1b3,Ncf1
102,Furin,Rpl4,S100a10,Sdf4,Stim1,Cox7a2l,Sdc4,Fis1,Txnip,Gabarap
103,Anxa6,Il7r,Mad2l1,Sh2d2a,Tgfbr2,Rpl31,Sp140,Ypel5,Eif3e,Vim
104,Pim1,Gimap6,Prelid1,Vcp,Prrc2c,Evl,Ier5,Oasl2,Gpr183,Blvrb
105,Lgals3,Cox7a2l,Mcm3,Selenow,Kmt2c,Snrpg,Ikzf3,Stradb,Dgka,Cers6
106,AU020206,Nsg2,Dlgap5,Lck,Gramd3,Rpl24,Cd38,Rad23a,Ighm,S100a11
107,Asb2,Ptpn18,Mcm7,Gpi1,Birc6,Ighm,Zfp36l1,Nusap1,Eif1,Rnf130
108,Selplg,Gpr183,Lockd,Il16,Dennd1a,Hspe1,Plaur,Fam117a,Cnbp,Plac8
109,Epsti1,2410006H16Rik,Cfl1,Scand1,Tcf20,Cd7,Stap1,Rnf11,Grcc10,Csf1r
110,Sdcbp2,Tspan32,Prdx1,2410006H16Rik,Arhgef3,Tubb5,Rel,Mff,Naca,Rassf4
111,Cd3d,Pdlim4,Aldoa,Ptpn22,Rps6ka3,Rps17,Cyb561a3,Stom,Tsc22d3,Lilr4b
112,Coro1a,Rps2,Fkbp2,Fis1,Sptbn1,Lef1,Pld4,Vopp1,Rps27rt,Capg
