,0,3,1,2,5,4,6,7,8,9
12590,Gm12356,Eprs,Cmtm8,Mrpl55,Zbtb43,Pdhb,Tmem167b,Fbh1,Brpf3,4930580E04Rik
12591,Map3k19,Crtc3,Gm46447,Tha1,Dus4l,Pip4k2b,Chpf,AC154200.1,E330020D12Rik,Gm47689
12592,Cdh18,Cep70,Gm42701,Mllt6,1500004A13Rik,Abca2,Ier3,Wdr82,Zfp942,4933424G06Rik
12593,Rarb,Osbpl7,2410003L11Rik,Dnah12,Nbn,Tpra1,Prpf6,Impact,Gm7030,Gm15337
12594,Rimkla,Mettl15,Lrp12,Zswim1,Btg2,Ifi35,Nit2,Ppp1r12b,Exo5,Atxn7l2
12595,Gm36602,Smarcd1,Slit1,Pik3cb,Mettl14,Pik3r4,Mmab,Klrd1,Daam1,0610009E02Rik
12596,Xpnpep2,Aven,Gm17276,Zfp276,Ankle1,Sv2c,Rybp,Maip1,Ctbs,Kcnb1
12597,Lpin3,Eaf1,Gm8906,Smim7,Coro7,S100pbp,Gm17106,Atf7,Luc7l3,4933411E08Rik
12598,Gm48133,Stard7,Gm45311,Mthfsd,Gm11695,Ppp1r9b,Mtx1,Tdp1,Fam222b,Mfsd13b
12599,Plppr2,Txnrd2,Cbr3,Gm11714,Tesk1,St7l,Efcab11,Dop1a,Itgax,Gm29488
12600,1700112D23Rik,Zfand4,Gm45052,Aldh4a1,Pgap3,Gm10053,Gss,Nsmce3,2210016F16Rik,Dok4
12601,Adh4,Nanp,Gm41335,Acy1,Kcnk5,Elovl5,Lin7c,Zscan29,Klhl5,Gm46519
12602,Pcdhgb4,Psmd5,S100a5,Ryk,Hist1h3a,Plekha3,Mpc2,Usp24,Ippk,Snhg17
12603,Vwce,Papolg,5430435K18Rik,Coq3,Ang,Srfbp1,Ufl1,Carnmt1,Irf2bp1,Gm553
12604,1700082M22Rik,Gpn2,4930447N08Rik,Gm9887,Fcer1g,Cdon,Trafd1,Zfp512,Fbxo4,Trav9-2
12605,Gm43031,Camkmt,Raet1d,Gm16575,Pgpep1,Aim2,Wdr48,Kdm6b,Fam120b,Gm38037
12606,Traj29,Prpf8,Pou2f3,Poglut3,Arhgap19,Traf6,Gpatch3,Asna1,Prr5l,Gm14963
12607,Atad3aos,Bag3,Pdgfrl,Anks1,Gm9856,Abhd5,Mtrf1l,Cdc25a,Praf2,Lif
12608,Trav17,Trnau1ap,Tmem132a,Sac3d1,Ints3,Colgalt1,Spen,Otud7b,Nadsyn1,Gm20109
12609,Impdh1,Atl3,Stra8,Uggt1,2310057M21Rik,Ppif,Kif24,Hnrnph3,Frrs1,Btc
12610,Gm13830,Ski,Plekhh2,Zfp866,Fmo5,Cd164,Szrd1,Prep,Zfp729a,Crygn
12611,4930517E14Rik,Abhd10,Gm49901,Slc15a3,Aspm,Esrra,Ilf3,Map3k8,Kdm4d,Cplane2
12612,4933421D24Rik,Mul1,Armh1,9230116N13Rik,Tonsl,D030056L22Rik,Pim3,Zfp397,Phf19,Gm47257
12613,B230322F03Rik,Gata3,Capn12,Nup54,Pop1,Rcn2,Alg10b,Dot1l,Abhd16a,Kif9
12614,Gm45442,2610020C07Rik,Trav13n-3,Lsm5,Sytl2,Wdr33,Haus7,Abcc1,Jmjd7,Fam241b
12615,Gm49701,Fadd,Egfl8,Cyren,4833407H14Rik,Pycrl,Fam104a,Ptpn9,Zbtb8os,Abcb6
12616,1700029H14Rik,Ss18l2,Gm10778,Ier3ip1,Nod1,Vezf1,Thap4,Men1,Rgs11,1700102H20Rik
12617,Crocc,Tia1,Cfap77,Pnp2,Mospd2,Slc43a2,Elk4,Bag1,Mta1,Gm33994
12618,Gm50241,Ccdc138,Kcnab3,Gpr160,Nudt13,2700062C07Rik,Gm37401,Ncapg2,Dexi,4932443L11Rik
12619,Coch,Acbd4,Gm26513,Lrrc8b,Ebf1,Ddx23,Slc37a4,Atn1,Gm17173,Gm35339
12620,Gm26865,Cyth3,B230317F23Rik,Cfap43,Tmed1,Zfp655,Pdgfb,Zer1,Usp20,Gm13270
12621,Tpbgl,Slc26a11,Gm13972,Eif2ak1,Grpel2,Pnpla8,Atf5,Slc30a6,H2-DMb2,Gm17135
12622,Mfsd4b5,Abcc1,Gm13610,Tmem214,Dop1b,Slx4,Hsf4,Cdyl2,Adam15,Cyb561
12623,Astn2,Npc1,Gm26680,Zfp12,Plod1,Epc1,Zc3h14,Cops7a,Ly6d,Gm12703
12624,1500002F19Rik,Zfp646,Gm26812,Trav13-1,Icmt,Rell1,Git1,Nin,Il1rl2,Gm26852
12625,Gm43017,Zfp524,1700054A03Rik,BC035044,2610306M01Rik,Supt7l,Guf1,Naga,Cd3eap,Fcrl5
12626,Gm13219,Ier3ip1,Ccl22,Mrpl47,9930012K11Rik,Ptar1,Stau1,Txndc11,Nek1,Trbj1-3
12627,Zfp9,Pes1,Tmprss4,Nox1,Ap1ar,Exo1,Trp53inp1,Lypd6b,Rapgef5,Gm15473
12628,Slc4a9,Cnpy4,Gm17023,Gm15518,Mmd,Tmem19,Ypel3,Stx12,Snx29,Rbbp9
12629,Msmp,Ppp6r2,Atp1b2,Gm47664,Chac2,Taf9b,Ppp1r16a,Copg1,Cerk,Prox2
12630,Gm35166,Tubgcp5,Asprv1,3300002I08Rik,Gm45871,Gpn2,Tmem147,Cdkn3,Ptprk,6430590A07Rik
12631,Acsm3,Dot1l,Fndc7,Zfp623,Raet1e,Inip,Tgif2,Uros,Tnfrsf13c,Klhdc8b
12632,Gm47551,Nup133,Gm49476,Nkapd1,Gm4285,Aldh2,Nadk2,Nbn,Apol7e,Impg1
12633,Gm21284,Hibadh,Zfp937,Rpusd4,Sema7a,Lrrc40,Atg101,Hid1,Smcr8,4933424G05Rik
12634,Mylk,Lysmd3,Il9r,Dusp28,1810006J02Rik,Pofut1,Fibp,Rfesd,Unk,Kcnmb4
12635,Hamp,Dennd4b,5033403F01Rik,Fcrla,Mastl,Gm42031,Trav14-2,Tmem163,Faap20,Megf11
12636,Gm20478,Atp11b,Gm47257,Rasl11b,Mtfr1,Pafah1b3,Ccdc130,Ercc6,Lsm14b,Fam221b
12637,Tspo2,Mgat5,Scgb3a1,Phf14,Gm32031,Birc2,Arl16,Helb,Kctd5,Akap5
12638,Ccdc34os,Gbp9,Trav12n-3,Nub1,Sfxn2,4930486L24Rik,Ccdc51,Usp32,Ddx20,1700019J19Rik
12639,Crabp2,Ptger2,Rab11fip4os1,Ankrd16,Dtl,Opa3,Nadk,Polr3f,Tmem170b,Gm40773
12640,Npm2,Ppp2r1b,Zfyve9,Ift43,Zfp362,Kcnk7,Dffb,Dexi,Hid1,Zfp947
12641,2310001K24Rik,Nsmce3,Prkn,Gclc,Zfyve27,Mtor,Nlrx1,Vamp2,Ski,Arvcf
12642,Gm13982,Nemp1,4930509G22Rik,Gtf3c6,B230307C23Rik,Stard7,Rgs16,Zkscan6,Med18,Spata32
12643,D130043K22Rik,Mpi,Gm10791,Zfp260,Dusp23,Snx11,Ddx1,Mtif2,Enoph1,Ttl
12644,Trim15,Uqcrc2,Serpina9,Mtm1,Tmem268,Cela1,Med16,Clybl,Pcif1,Gm36756
12645,Tle6,Nfia,Galntl6,Blvrb,Vps4b,Ap4e1,Epas1,Tmlhe,Srsf10,Otulinl
12646,Tesmin,Pgrmc2,Gm49454,Rbbp7,Arsa,Xrcc6,Slc35a2,Bcl7c,F2rl1,Mapkapk5
12647,Gm45847,Hist1h2bn,Gm50431,Prr5,Topors,Sars2,Slx4ip,Zfp384,Sfmbt1,Lhpp
12648,Gm47884,Brms1l,Gm13748,Pex12,Chst2,Slc25a40,Mrps27,Rnft1,Creb3l1,Gm26660
12649,Wnt2b,Fanci,Clba1,Zbtb48,Gm28417,Yju2,Timm22,Msl3,Zbed4,Lrp1b
12650,Gm13420,B020010K11Rik,4632404H12Rik,Acpp,N4bp1,Ext2,Ik,Msto1,Hist1h2bf,Chadl
12651,Slc39a2,Oxsr1,Trav4-2,Cdkn1b,Ptpn2,Poc1b,4833407H14Rik,Osbpl7,Ell,Itga9
12652,Trav13d-3,Nup188,Ttc26,Nfxl1,Zfp335os,Gm16754,Smchd1,Pam,Tubgcp6,Gata1
12653,Tcp11l1,Nfx1,Kcnq3,Ciita,Dnajb5,Tuba4a,Pex14,Zfp809,Map11,Cdk11b
12654,A630001O12Rik,Cd72,Tmtc1,Myo1c,Cep89,Slc37a4,Dnal4,Qk,Ammecr1,Trav4-4-dv10
12655,Hexdc,Sertad3,Gm49887,Smg6,Ninj2,Hrh2,Yars2,Prkcd,Manba,E130208F15Rik
12656,Trbj1-5,Cd96,Gm10337,Cpne2,Gm20939,Taf13,Arhgap39,1700037C18Rik,Cep68,Gm28402
12657,Kif19a,Ankrd27,Tmem30b,Trim36,Stoml1,Zfp949,Trav4-4-dv10,Chsy1,Cyth2,Ttc30b
12658,Ift122,Shprh,Fbp1,Gm49980,Pxmp2,Tatdn1,Gm4285,Chmp7,Stx16,Cryba1
12659,Pram1,L1cam,Egr4,Pgpep1,Dars2,Tmem161a,Mzt2,Dnase2a,Trmt5,Gm13481
12660,Gm15880,Coasy,Crlf1,Elovl7,Clpx,N4bp2l1,Esco1,Rrs1,Thap12,Gm41555
12661,Dbr1,Ipcef1,C79798,Ambra1,Gba2,Fam98a,Zfp787,C2cd5,Tbc1d10a,Msrb3
12662,Gm43514,Dis3l,Rtn2,Rnf144a,Rab39b,Kif1b,Smyd2,Ythdc2,Grap,Slc1a4
12663,Tnfsf12,Arfgef2,Gm16122,Zrsr1,Gpld1,Crtc2,Dse,Csrnp1,Syk,Lrp2bp
12664,Gm49708,Tti1,Cntnap1,Chmp2b,Syk,Kifc5b,Rnft1,Kbtbd3,Stc2,A430035B10Rik
12665,Hyal1,C1galt1c1,Gm37800,Mccc2,2410022M11Rik,Slc7a6,N4bp3,Tmem9,Perp,Atp11b
12666,Gm15938,Pcid2,Mras,Mylpf,Atp6ap2,Cx3cr1,Fastkd3,Igf2bp3,Ddx49,1700126G02Rik
12667,9330159M07Rik,Mbtps1,Glrp1,Cgrrf1,Hist1h2bf,Eri2,Cep104,Ermp1,Ccdc134,Gm16045
12668,Gm28402,Med7,Gm16055,Med12l,Zmym5,Selenoi,Dvl3,Zfp362,Cdc42se1,Srp54b
12669,4930509G22Rik,Tpk1,Gm47920,Sft2d2,Pacsin2,Tor3a,Slc35b4,Paip2b,Ndufaf8,Tgfbr3l
12670,Col10a1,Atf7,Gm50023,Adck5,Ttyh3,Synj2bp,Ythdf1,Zfp865,5830408C22Rik,Ranbp17
12671,Serpine3,Tbcc,4933408N05Rik,Serpinf1,Rnf40,Dhx29,Pogk,Tiparp,Gm17767,Atr
12672,Eqtn,Usp19,Gm16014,Clk2,Zfp683,Nup43,Vac14,Lsm14b,Pde2a,Setd6
12673,A630095N17Rik,Syne2,Smim18,Eml3,Tnfaip1,Cmpk2,Polr2b,Zfand2a,Gemin8,Atp6v1g3
12674,4933408J17Rik,Tm7sf3,Gm7324,Dnajc3,Arrdc2,Manba,Zdhhc16,Kif18a,Acyp2,Gm28370
12675,Tenm4,Heatr5b,Mcoln3,Gk,Pld4,Lrrk1,Zdhhc4,Akr7a5,Ppwd1,Dtnbos
12676,Gng4,2900097C17Rik,Myo15,Stc2,Ier3,Stk3,Cenpb,Hgsnat,Usp40,4932438A13Rik
12677,Gm34471,Cfap298,Gm49519,Inpp5a,Abhd13,Cchcr1,Hirip3,Polh,Prkra,Gm31834
12678,Ldlrad1,Ell2,Phldb2,E430024I08Rik,Hdac10,Cux1,Ccdc117,Uba6,Samd10,Gm47371
12679,Dnah2,Mrpl21,Itpr3os,Irx3,Osgepl1,Srp9,Caap1,Pprc1,Poldip2,Lnx1
12680,Lrrc63,Ccdc61,Gm46336,Lancl2,Glmn,Nfil3,Slc9a6,Dhfr,Galm,Nr3c2
12681,Gm12259,Zfp330,Calca,Bcl2a1c,Spryd4,Lats1,Tgfbr1,Metap1d,Man2c1,Col9a3
12682,CAAA01066123.1,Srrm2,BC034090,Myo6,Prrc2a,Coa6,Golga2,Mto1,Ctdp1,Mzb1
12683,Rpp25,Ugcg,Catsperg1,Ric8a,Cnot7,Ahctf1,Spopl,Lamc1,Recql,2310026I22Rik
12684,Gm33524,Ccdc136,A730090N16Rik,Ugdh,Slx4,H2-Eb1,Anks1,Brwd3,Spin1,Sez6l2
12685,Fzd1,Commd8,Pcdhgc5,Tmf1,Kif14,Ddb2,Gnpda2,Chd7,Fbxo46,Traj24
12686,Nmbr,A330023F24Rik,Dhrs13os,Nckipsd,Arhgef39,Lrr1,Scarb1,Plekhb2,Snx14,Gm47071
12687,Ighv1-76,Tmem179b,Traj58,Pkm,Zdhhc24,Ankrd40,Vps41,Dnajc13,Tigar,Gm13256
12688,Sox13,Tmem167b,Gm43650,Slc46a3,Cip2a,Tollip,Usp40,Ugdh,Pdp2,Gm11999
12689,Spatc1,Atrn,U90926,Capn15,Zbtb8a,Epg5,Med6,Sugp2,Bsdc1,Tubg2
12690,Enho,Tor1b,4930532G15Rik,Syne2,Pde4dip,Pelp1,Tmem59,Elovl6,Togaram1,Gm26810
12691,Snx7,Klhdc10,Trim13,Zfp27,Cd83,Phtf2,Srebf2,Rpl36a-ps1,Tmem209,Slc22a17
12692,Vgf,Cenpu,Cstad,Pik3r1,Bhlhb9,Poc5,Mettl5,2700062C07Rik,Pycrl,Fan1
12693,1700092M07Rik,Laptm4a,Gm28513,Baz2a,Eif4enif1,Atg2b,Unc13a,Frmd4b,Pole2,Cnr2
12694,Cyp2d26,Hsd17b4,4930415O20Rik,Ntmt1,Ccrl2,Dlgap4,Ccdc174,Stx17,Cisd3,Gm42997
12695,Gm27007,Rmi1,A530041M06Rik,Klrb1f,Rprd1b,Pank3,Siae,Ddx52,Eif1b,Gm47112
12696,Cyp2t4,Pias3,Tceal3,Gm12992,St14,Mbnl2,Ap4s1,Gipc1,Fam219a,Sp6
12697,Unc5b,E130309D02Rik,Gm13977,Zbtb37,Eno3,Stk4,Zfp335os,Armt1,Cgrrf1,Pnldc1
12698,Hist2h3c2,Extl3,8030451A03Rik,Slc16a1,Tmem263,Hist1h2ac,Gpt2,Tollip,Atp1a1,Gm15674
12699,9430069I07Rik,Gon4l,Gm14320,Gm12359,Trav9-2,Hnrnph1,Hmga1,Map1lc3a,Mre11a,Gm29642
12700,Gm29481,Ncoa3,Gm12404,Spata24,Ipo13,Nagk,Trbv12-1,Nol6,Bcl6,B630019K06Rik
12701,Neurl1a,Nif3l1,Gm47697,Gm20939,Trav5-4,Papolg,Adnp,Unc93b1,Gm49797,Trav6n-5
12702,Gm48653,Slc2a8,Stmn2,Apopt1,Pak4,Mcrs1,Rnf219,Tatdn2,Actr6,Hectd2
12703,Traj44,Lrrcc1,Lrp8os2,Pdzd8,Ift46,Bysl,March5,Supt3,Gtpbp2,Col15a1
12704,Phxr2,Amn1,Apon,Ifi206,Marcks,Polq,Bspry,Iqsec1,Trat1,2600006K01Rik
12705,Saxo2,Acox1,Gm17146,Adat1,Slx1b,Adprhl2,Cetn2,1110012L19Rik,Gsdme,Tmem177
12706,4930405O22Rik,Ncor2,Gsdmc4,Dpp8,Tmem41a,Rdh11,Klf11,Kptn,Acp2,Gm2237
12707,Gm29050,Atg12,Samd4,Rgl1,Slc38a10,Zfp467,Spice1,Slc11a2,Josd1,Map2
12708,Gm16172,Pi4kb,Adrb1,Ppm1f,Nedd1,Gm16675,Gart,Dennd4a,Hdhd2,Trim23
12709,Hipk4,Cd3g,Dbndd1,Adnp2,Strada,Slco3a1,Elk3,Ftsj1,Zfp958,Itga3
12710,Gm17191,Cdon,Cd109,Slc37a3,Otud6b,Polg,Ocrl,Alcam,Ubxn6,Tlcd1
12711,Pdia2,Madd,Dgat2l6,Ggact,Atp13a2,Sik2,Cln5,Trmt11,Slc17a5,Pomt2
12712,Gm9939,Rnaset2a,Gcm2,Ercc8,Btf3l4,Rsl1d1,Ubox5,Ehd4,Ddx1,Adcy6
12713,Ighv5-17,Opa3,Stard13,Mrgbp,Gpr160,Bmi1,Dnph1,Eml5,Hdac7,Gm11201
12714,Gm43604,Ap1b1,Gm15728,Armc6,Kctd6,Smurf1,Tbc1d13,Ap1s3,St3gal5,Gm32633
12715,Hgd,A630089N07Rik,Scn11a,Wdr90,Abca2,Avl9,Polr3g,Sap30l,Mettl6,Gm16549
12716,Rsph4a,Arrb2,Gm19331,Gpsm1,Gm5914,Mmp9,Utp18,Ncapg,Mrpl50,Gm15326
12717,1700037F03Rik,Eldr,Lhfp,Slc39a14,Afp,Tcf12,Trak1,Nenf,G6pc3,Gm14154
12718,Efcab6,Slf2,Platr29,Bbs4,Usp10,Rcc2,Zranb1,Thyn1,Dlg4,Gm10655
12719,Btnl4,Rbm18,Epor,Sars,Sec24d,Pold2,Zfp637,Csf1,Iws1,AC166172.1
12720,Gm15541,Camk2n1,Gm49041,Nfe2l2,E430002N23Rik,Dzip3,Zgrf1,R3hcc1,Natd1,Dync2li1
12721,Gm11672,Cdc37,Palld,Nhsl2,Rnf227,Rmi1,Ddit3,Mt1,Prdm4,Acat3
12722,Mpig6b,Nudt18,Gm26982,Icosl,Dand5,Mcts1,Pcnx4,Sphk2,Brcc3,Gm48696
12723,Nrap,Zfyve26,Tcrg-V4,Them4,Naaa,Son,Rala,Anp32e,Flvcr1,Tmem144
12724,Gm14022,Hist2h4,Hemgn,Rsph1,Lysmd1,Pnpt1,Galnt12,Ttc13,Uchl3,Sh3pxd2a
12725,Gm15556,Coq2,Zfp72,Gm30211,Opa3,Edc4,Son,Kdm3a,Timm29,Gm17435
12726,Loxl4,Klc3,Icam4,Pax5,Mettl18,Rad54b,Cdk16,Pigu,Mllt1,Churc1
12727,Scd4,Prrc2c,Dnase1,1700010I14Rik,Zfp932,Myo10,C330007P06Rik,Riok2,1600010M07Rik,Art4
12728,6720468P15Rik,Lats1,Gm47272,E130317F20Rik,Rnf11,Alg12,Msto1,Nmb,Slx4,1700094J05Rik
12729,Celf3,Eif4a3,Gm30934,Prmt5,Irf4,Usp3,Slc26a2,Enoph1,Stau1,Zfp970
12730,Fam135b,Tmem161b,Gm27240,Cdk16,Ttf1,Cox15,Alas1,Rcbtb1,Gpt2,Il4
12731,Fzd7,Msra,P2ry1,Aasdh,Gm4841,E130309D02Rik,Nudt5,Tmbim6,Zbtb17,Zfp446
12732,Scnn1a,Txndc16,Zfp750,Bak1,Klf16,Slc39a10,Kcmf1,1110059E24Rik,Abcf3,Gm41541
12733,Gm28192,Polr1c,4930500F10Rik,Panx1,Alg12,Rab12,Rnf146,Cpox,Timm8a1,Tox2
12734,Gcsam,Ttc32,Ttc39d,Gfod2,Zfp319,Agpat1,Mthfd1,Mid1ip1,Ifrd1,Rpl39l
12735,Map7d2,Zfp688,Gm2087,Agbl3,Iglc2,Mtif2,Gfod1,Cdkn2aip,Tmem181a,Gm43597
12736,Pbld1,Jmjd7,Clcn1,Polr3a,Usp20,Slc35d1,Acat2,Otud6b,Dcaf17,4930481A15Rik
12737,Ighv1-39,Ndufaf1,Frem3,Anapc16,Ube3b,Nprl2,Dusp14,Atp8b2,Supt5,Gm14471
12738,Tubal3,Washc4,Trbv30,Hgh1,Blcap,Ndufb11,Pard6a,Zfp398,Rheb,Ackr4
12739,Arl4aos,Arfrp1,Sfxn5,Pxmp2,Bspry,Mcm9,Eef2kmt,Gnpda2,Ap5b1,Gm28960
12740,Pmch,Mfn2,9030407P20Rik,Dcun1d3,Polr2a,Txndc16,Pycrl,Alg14,Rcl1,Gm3739
12741,Myadml2os,Frs2,Gm26566,Mnd1,Suox,Polr1c,Slc3a2,Clk3,Cerkl,1810059C17Rik
12742,Adipoq,Ubxn11,Impg1,Tnfrsf13c,Osbpl7,Coq9,Mrpl15,Myo5a,Mrpl3,Cdc20b
12743,Shisa7,Tmem131,Gm15880,Mettl2,Mbd4,Rhot1,Marf1,Jpt2,Cog4,4930481B07Rik
12744,Gm40155,Edrf1,Spic,Cdc42ep3,Mat2a,Ikbke,Clec2l,Ttf1,Aff1,Kmt2e
12745,Pde6g,Zc3hc1,9230116L04Rik,Fbxw4,Swap70,Helq,Lnpep,Tsc22d2,Med12,Pex26
12746,Gm36210,Slfn9,Gm35507,Coq8b,Habp4,Ddx24,Ankrd39,Tmem167b,Trbv26,Gm45418
12747,Gm48420,Wipf2,B230319C09Rik,Cops7a,Zcchc8,Klc3,Ngrn,Rdh14,Slfn9,Itga7
12748,Gm50013,Cenpo,Tomm6os,Pip4p1,Tmem177,Ercc3,Chek2,Rnf130,Sarnp,Nrarp
12749,Bc1,Vps39,Gm20878,Gm36329,Mllt1,Ncdn,Mpg,Rab12,Ctdsp2,2900009J06Rik
12750,Ky,Gripap1,Gm43400,Ada,Lgalsl,Abt1,Tmem104,Trappc2l,Rfxap,Tmem91
12751,Unc80,Pcgf3,Gm29010,Zfp420,Pidd1,Ikbkg,Trav14d-3-dv8,Sema4a,Gm20721,Gm8251
12752,Igkv17-121,Med6,Gm26879,Pdp1,Exoc8,Lgals9,Nxn,Ddx41,Slc35a1,A930029G22Rik
12753,Gm48127,Scaper,Gm35189,2810006K23Rik,Iqcc,Sav1,Slc7a6,Lef1os1,Hist1h4h,Gm15672
12754,F630028O10Rik,Tbl1x,Gm45014,Med11,Pex3,Cep152,Dnajc19,Ccdc167,Osgin1,Clgn
12755,Olr1,Rufy2,Ptpru,Ptges3,Gm17745,Zfp950,Rtn4,Scd2,Mbd3,Gm41409
12756,Slc17a8,Armh3,2310002D06Rik,Rspry1,Akap12,Setdb2,G0s2,Abcc5,Wdr61,Gm5129
12757,Gm30173,Nudt14,Pglyrp3,Zc3h12b,Pigh,S1pr2,Prr12,Atp11c,Eid1,Hist1h4k
12758,Igkv8-19,Ube2d1,Gm45479,Zscan25,Ints2,Znrd1,Klrc1,Ndufb2,Il1r2,Cdkn2b
12759,Zfp708,Timm13,Gm43445,Bbs2,Fbxo25,Irf4,Zfp777,Clock,Nhlrc2,A930001M01Rik
12760,Syce1l,Ik,Epha6,Gm19705,Trim32,Fyttd1,Nsd1,Adprm,Fam149b,Gm26628
12761,Calml4,H2-K1,Gm16578,Ap4b1,B3galt6,Cnppd1,Gm20663,Mob1b,Gatc,4930505N22Rik
12762,Gm16181,Ddx10,Insl3,Wdcp,Fbxo34,Gtf2h3,Pdss1,Adnp,Lmbrd2,1700018L02Rik
12763,Trav15d-1-dv6d-1,Rell1,Gm5244,Tmem230,Glt8d1,Iars2,Ftsj1,Cd8a,Hsf4,Gm48086
12764,Adam6b,Nmd3,Gm16268,Strada,Gng3,Ctnnbip1,Hacl1,Syne1,Ubr4,Gm3055
12765,4930544F09Rik,Cox15,5330439M10Rik,Nrarp,Gm4013,Ifi206,Ccdc102a,Rfc3,Slc52a3,Fam169b
12766,Ighv6-6,Ppp1r21,Spag6,Cdk7,Gm50335,Idh3g,Ercc4,Hectd3,Csnk1g2,Gm16093
12767,Itgb8,Cbll1,Gm28187,G6pc3,Gtf2h1,Tubb6,Kctd18,Sec24a,Med26,C1qtnf4
12768,AW046200,Chkb,6430548M08Rik,Usp30,D730003I15Rik,Gfm2,Cdv3,Cpne3,Rnf185,Gm48383
12769,Klra1,Slx4,Gm16279,Zfp362,Gga2,Rpp30,Rpl4,Max,2810402E24Rik,Hist2h2aa1
12770,Iglv2,Ticam1,Dthd1,Fyco1,Slc26a10,Ankmy2,Gm16001,Rps6ka5,Ftsj1,Traj26
12771,Cox4i2,Dnajc11,5330417C22Rik,Cd69,Ptp4a2,Fam83d,Fuca2,3110009E18Rik,Gdpd5,Ttc30a1
12772,Gm29994,Taco1,Tle4,Slirp,Dync1li2,Dalrd3,Fip1l1,Polr3e,Ahcyl2,Zfp112
12773,Gm26626,Taf15,Tiam2,Bloc1s5,Grasp,9930021J03Rik,Rlf,Ergic2,Rrnad1,Gm20163
12774,Aspn,Alms1,Cdr2l,Zfp715,Smarcal1,Trib1,Hs3st3b1,Atxn2,Zfp738,Gm2788
12775,Arhgef26,Poldip2,Mgat5,Parp8,2810402E24Rik,Impad1,Rps27a,Entpd6,Adnp2,Gm10847
12776,Gm15964,Slc25a14,Fam20c,Trav14d-3-dv8,Ttll1,Kdm3a,Zfp212,Sgpl1,Ebf1,Smo
12777,Catsper3,Ankrd40,Zfp418,Rpl10a,Dcaf4,Tbc1d31,Fam149b,Sumf2,Mdp1,Gm48529
12778,Gm45495,Gm16286,4933430I17Rik,Rabl3,Kdm1b,Urgcp,Adck2,Zc3h6,Tfam,AW046200
12779,Nfkbiz,Dcun1d3,Gm45495,1700007L15Rik,Clec2l,Actr5,Pcmtd2,Sdccag8,A330023F24Rik,Gm4356
12780,Slc22a27,Tmem68,A830009L08Rik,Marc2,Hif1an,Chmp7,Vps4b,Snapc1,Snupn,Gucy1b1
12781,Zfp108,Whamm,4930520M14Rik,Usp16,Polm,Senp3,Kdm7a,Map2k5,Cebpb,Gm26619
12782,6720489N17Rik,H2-Eb1,Slc22a2,Btk,Micu2,Abcc5,Gtf2a1,Ap3m2,Macf1,Il9r
12783,Fbln1,Cenpv,Stx19,Nop16,Sdc4,Ifnar2,Bdp1,Isoc1,Elf2,Gm11077
12784,Cttnbp2nl,Cwf19l2,Nkx3-2,Plagl2,Enkd1,Pibf1,Spin1,Sergef,Tyw1,4930513N10Rik
12785,Gm14471,Top3b,Platr6,Cd40,Zmat3,Tmem134,S100pbp,Hivep3,Pin1,Myl10
12786,Gm16244,Uba7,Gm29296,Rnf20,Mmab,Atp8b2,Nacc1,Setd1a,Mms19,Ar
12787,Gm12227,Naprt,Ddit4l,Mettl4,Mfsd13a,Ccp110,Thra,Ano10,Zfp512,Wdr31
12788,Gm15713,Dipk2a,Gm15063,Mettl5,Gm17092,Zfp652,Nipbl,Ift52,Rars2,Spata7
12789,Hykk,Btbd19,Gm15294,Pon2,1700066B19Rik,Golga1,Aagab,Riox2,Crtc3,Gm32679
12790,9230112E08Rik,Tnfaip8l1,Gm11934,Gm17092,Camk2b,Ptcd3,Fam57a,Kat6b,Csnk2a2,Agrn
12791,Gm42702,Map1s,4930519D14Rik,Elmod2,Rab21,Slc39a9,Snapc2,Fam45a,Ankrd13c,Rhbdl1
12792,Fam169a,Zfp143,Cgref1,Spr,Git1,Mgrn1,Soat2,Mbnl3,Sfn,Gm36266
12793,D830024N08Rik,Xpa,A930001C03Rik,Pcyox1,Wwp2,Arfgap3,Tmem94,Efl1,Gripap1,Sptbn2
12794,Atg4a-ps,Traf3ip3,Klhl40,1700021A07Rik,Kbtbd11,Eif2b2,Ccdc84,Psmd5,Ebna1bp2,Zbtb26
12795,Gm10389,Fbxw4,Erc2,Cacna1c,Map7,Phgdh,Pcbp4,Chn2,E130309D02Rik,1700019L13Rik
12796,Klhl23,S100pbp,Gm13412,D730003I15Rik,Fcgrt,Aptx,Phf13,Sos2,Cep78,Gm17300
12797,Gm49838,Ago3,Tafa4,Nifk,Sap25,Hist1h3i,Pign,Fibp,Sema4b,Gm35188
12798,1700030C12Rik,Midn,Fxyd6,Nfam1,Zkscan6,Tpm1,Ankrd27,Utp6,Pym1,Gm15492
12799,Dpp10,Tnip1,Gm45709,Smim4,Ica1,Abhd10,Pvr,Bloc1s6,2700049A03Rik,Synpo2
12800,Rgs20,Nsrp1,Chmp4c,Apbb1,Gnb4,Iars,5730455P16Rik,Fasl,Gtf3c3,Ankrd6
12801,Gm48545,Fancg,4931415C17Rik,Usp4,Il27ra,Dbndd2,Insig1,Slc4a7,Prps1,Amigo2
12802,Gm33280,Nkapd1,4931413K12Rik,Rnpc3,Ctc1,Acin1,Smyd3,Mlxip,Lsr,Cntf
12803,Aldoart2,Rab3gap2,2900089D17Rik,Cyb5d2,Mccc1,Dusp14,Ddx20,Csnk1g2,Pitpnc1,Cipc
